Delito;SubDelito;Fecha;Hora;Victima;SubVictima;Edad;Genero;Nacionalidad;Provincia;Canton
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;1/1/2022;21:00:00 - 23:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;SAN JOSE;ALAJUELITA
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;2/1/2022;15:00:00 - 17:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;SAN JOSE;DESAMPARADOS
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;2/1/2022;21:00:00 - 23:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;SAN JOSE;TIBÁS
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;2/1/2022;18:00:00 - 20:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;LIMON;POCOCÍ
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;2/1/2022;18:00:00 - 20:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;LIMON;POCOCÍ
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;4/1/2022;18:00:00 - 20:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;GUANACASTE;LA CRUZ
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;5/1/2022;00:00:00 - 02:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;SAN JOSE;TIBÁS
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;6/1/2022;15:00:00 - 17:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;HEREDIA;HEREDIA
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;7/1/2022;06:00:00 - 08:59:59;PERSONA;PEATON [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;PUNTARENAS;GARABITO
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;9/1/2022;18:00:00 - 20:59:59;PERSONA;CLIENTE LOCAL COMERCIAL [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;LIMON;GUÁCIMO
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;9/1/2022;18:00:00 - 20:59:59;PERSONA;CLIENTE LOCAL COMERCIAL [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;LIMON;GUÁCIMO
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;7/1/2022;21:00:00 - 23:59:59;PERSONA;PEATON [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;PUNTARENAS;OSA
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;12/1/2022;00:00:00 - 02:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;SAN JOSE;SAN JOSÉ
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;13/1/2022;12:00:00 - 14:59:59;PERSONA;CLIENTE LOCAL COMERCIAL [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;HEREDIA;SARAPIQUÍ
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;14/1/2022;00:00:00 - 02:59:59;PERSONA;PEATON [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;GUANACASTE;LA CRUZ
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;14/1/2022;21:00:00 - 23:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;SAN JOSE;SAN JOSÉ
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;15/1/2022;18:00:00 - 20:59:59;PERSONA;PEATON [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;CARTAGO;TURRIALBA
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;15/1/2022;21:00:00 - 23:59:59;PERSONA;PEATON [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;PUNTARENAS;PUNTARENAS
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;16/1/2022;21:00:00 - 23:59:59;PERSONA;PEATON [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;ALAJUELA;ALAJUELA
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;18/1/2022;18:00:00 - 20:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;DESCONOCIDO;COSTA RICA;ALAJUELA;ALAJUELA
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;18/1/2022;21:00:00 - 23:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;SAN JOSE;MORAVIA
HOMICIDIO;AJUSTE DE CUENTAS/VENGANZA;19/1/2022;21:00:00 - 23:59:59;PERSONA;PEATON [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;ALAJUELA;ALAJUELA
